Example_Number,Gatschet&Swanton,Modern_Ortho,Gloss.1,Gloss.2,Gloss.3,Gloss.4,Gloss.5,Gloss.6,Translation,Raw_Block,Gloss.5_Fixed
104,[kuˊtsnă(n) nakēˊa],kúcnan nakké á,kucnan    nak-ke         a,knife     2PLSTATS-have  Q,,,kucnan    nak-ke         a    ,knife     2PLSTATS-have  Q    ,‘Do you all have a knife?’ (1932:63:1),"[kuˊtsnă(n) nakēˊa]                                                  
                                                                                    
          104) kúcnan nakké á                                                       
                                                                                    
               kucnan    nak-ke         a                                           
                                                                                    
               knife     2PLSTATS-have  Q                                           
                                                                                    
               ‘Do you all have a knife?’ (1932:63:1)",kúcnan    nak-ké         á    
106,[haˊl hiwaˊntikit haˊ],hál hiwáŋtikitháh,hal  hi-waŋ-tikit-hah,again 1SSTATS-walk-FUT-NEG,,,hal  hi-waŋ-tikit-hah    ,again 1SSTATS-walk-FUT-NEG    ,‘I shall not walk again.’ (1932:141:1),"[haˊl hiwaˊntikit haˊ]                                               
                                                                                    
          106) hál hiwáŋtikitháh                                                    
                                                                                    
               hal  hi-waŋ-tikit-hah                                                
                                                                                    
               again 1SSTATS-walk-FUT-NEG                                           
                                                                                    
               ‘I shall not walk again.’ (1932:141:1)",hál  hi-wáŋ-tikit-háh    
107,[itiyiˊlc ihukit’ha],itiyílš hihúkitháh,itiyilš hi-hu-kit-hah,moon 1SSTATS-see-PROG(SG)-NEG,,,itiyilš hi-hu-kit-hah    ,moon 1SSTATS-see-PROG(SG)-NEG    ,‘I do not see the moon.’ (1932:156:1),"[itiyiˊlc ihukit’ha]                                                 
                                                                                    
          107) itiyílš hihúkitháh                                                   
                                                                                    
               itiyilš hi-hu-kit-hah                                                
                                                                                    
               moon 1SSTATS-see-PROG(SG)-NEG                                        
                                                                                    
               ‘I do not see the moon.’ (1932:156:1)",itiyílš hi-hú-kit-háh    
108,[Taneˊ-u cakinaˊ-uc koˊxcaˊhulat],tannéw šakináwškóhššáhulat,tan-hew        šak-inawš-kohš-hah-ul-at,other-PL       3PLOBJ-enter-DESID-NEG-3PLS-PRET,,,tan-hew        šak-inawš-kohš-hah-ul-at    ,other-PL       3PLOBJ-enter-DESID-NEG-3PLS-PRET    ,‘They did not want other people to enter.’ (1932:18:117),"[Taneˊ-u cakinaˊ-uc koˊxcaˊhulat]                                    
                                                                                    
          108) tannéw šakináwškóhššáhulat                                           
                                                                                    
                                                                                    
               tan-hew        šak-inawš-kohš-hah-ul-at                              
                                                                                    
               other-PL       3PLOBJ-enter-DESID-NEG-3PLS-PRET                      
                                                                                    
               ‘They did not want other people to enter.’ (1932:18:117)",tan-néw        šak-ináwš-kóhš-šáh-ul-at    
109,[Iˊcak capiˊxk caklaˊwiulhahat],išà·k šappíhk šakláwiulháhat,iša·k     šak-pihk-ø     šak-lawi-ul-hah-at,person    PL-die(pl)-ABS 3PLOBJ-BURN-3PLS-NEG-PRET,,,iša·k     šak-pihk-ø     šak-lawi-ul-hah-at    ,person    PL-die(pl)-ABS 3PLOBJ-BURN-3PLS-NEG-PRET    ,‘They did not burn the dead.’ (1932:19:140),"[Iˊcak capiˊxk caklaˊwiulhahat]                                      
                                                                                    
          109) išà·k šappíhk šakláwiulháhat                                         
                                                                                    
               iša·k     šak-pihk-ø     šak-lawi-ul-hah-at                          
                                                                                    
               person    PL-die(pl)-ABS 3PLOBJ-BURN-3PLS-NEG-PRET                   
                                                                                    
               ‘They did not burn the dead.’ (1932:19:140)",išà·k     šap-píhk-ø     šak-láwi-ul-háh-at    
111,[wi kauˊkau ihāˊc],wi kawkáw hiháhš,wi   kawkaw    hi-hahš,I    water     1SSTATS-not.have,,,wi   kawkaw    hi-hahš    ,I    water     1SSTATS-not.have    ,‘I do not have water.’ (1932:58:1),"[wi kauˊkau ihāˊc]                                                   
                                                                                    
          111) wi kawkáw hiháhš                                                     
                                                                                    
               wi   kawkaw    hi-hahš                                               
                                                                                    
               I    water     1SSTATS-not.have                                      
                                                                                    
               ‘I do not have water.’ (1932:58:1)",wi   kawkáw    hi-háhš    
112,[Caktaˊlko Yuk’hiˊti icaˊk kaˊ-u haˊtalkoˊat],šaktálkoh yukhíti išá·k káw ha tal kóhat,šak-tal-koh     yukhiti  iša·k kaw ha   tal  ø-koh-at,person-skin-wanter Indian person dead his skin 3STATS-want-PRET,,,šak-tal-koh     yukhiti  iša·k kaw ha   tal  ø-koh-at    ,person-skin-wanter Indian person dead his skin 3STATS-want-PRET    ,‘The Skin-desirer wanted the skin of a dead Indian. (1932:11:32),"[Caktaˊlko Yuk’hiˊti icaˊk kaˊ-u haˊtalkoˊat]                        
                                                                                    
          112) šaktálkoh yukhíti išá·k káw ha tal kóhat                             
                                                                                    
               šak-tal-koh     yukhiti  iša·k kaw ha   tal  ø-koh-at                
                                                                                    
               person-skin-wanter Indian person dead his skin 3STATS-want-PRET      
                                                                                    
               ‘The Skin-desirer wanted the skin of a dead Indian. (1932:11:32)",šak-tál-koh     yukhíti  išá·k káw ha   tal  ø-kóh-at    
113,[wi hitēt hioˊknă oˊñc],wi ité·t hiókne óŋš,wi   ite·t hi-ok-ne      ø-oŋš,my   father 1SSTATS-come-GER 3STATS-not.want,,,wi   ite·t hi-ok-ne      ø-oŋš    ,my   father 1SSTATS-come-GER 3STATS-not.want    ,‘My father does not want me to come.’ (1932:43:1),"[wi hitēt hioˊknă oˊñc]                                              
                                                                                    
          113) wi ité·t hiókne óŋš                                                  
                                                                                    
               wi   ite·t hi-ok-ne      ø-oŋš                                       
                                                                                    
               my   father 1SSTATS-come-GER 3STATS-not.want                         
                                                                                    
                                                                                    
               ‘My father does not want me to come.’ (1932:43:1)",wi   ité·t hi-ók-ne      ø-óŋš    
114,[Cok heˊ-u cakwaˊnts uˊxtsăt],šokhéw šakwánc úhcat,šok-hew   šak-wanc  ø-uhc-at,thing-many 3PLO-tell 3STATS-be.able-PRET,,,šok-hew   šak-wanc  ø-uhc-at    ,thing-many 3PLO-tell 3STATS-be.able-PRET    ,‘She was able to tell them many things.’ (1932:15:84),"[Cok heˊ-u cakwaˊnts uˊxtsăt]                                        
                                                                                    
          114) šokhéw šakwánc úhcat                                                 
                                                                                    
               šok-hew   šak-wanc  ø-uhc-at                                         
                                                                                    
               thing-many 3PLO-tell 3STATS-be.able-PRET                             
                                                                                    
               ‘She was able to tell them many things.’ (1932:15:84)",šok-héw   šak-wánc  ø-úhc-at    
115,,nimákóhš áwšulat,nima-kohš ø-awš-ul-at,kill-DESID 3STATS-not.be.able-3PLS-PRET,,,nima-kohš ø-awš-ul-at    ,kill-DESID 3STATS-not.be.able-3PLS-PRET    ,‘They wanted to kill him and were not able to.’ (1932:91:2),"115) nimákóhš áwšulat                                                     
                                                                                    
               nima-kohš ø-awš-ul-at                                                
                                                                                    
               kill-DESID 3STATS-not.be.able-3PLS-PRET                              
                                                                                    
               ‘They wanted to kill him and were not able to.’ (1932:91:2)",nimá-kóhš ø-áwš-ul-at    
116,[coˊk co heˊ-ux̥ tsaˊ],šókšo hiùhccáh,šokšo     hi-uhc-hah,anything  1SSTATS-know-NEG,,,šokšo     hi-uhc-hah    ,anything  1SSTATS-know-NEG    ,‘I don’t know anything.’ (1932:138:2),"[coˊk co heˊ-ux̥ tsaˊ]                                               
                                                                                    
          116) šókšo hiùhccáh                                                       
                                                                                    
               šokšo     hi-uhc-hah                                                 
                                                                                    
               anything  1SSTATS-know-NEG                                           
                                                                                    
               ‘I don’t know anything.’ (1932:138:2)",šókšo     hi-ùhc-cáh    
117,{shiwán tsúm háχsh ntsá-ĕhĕ},šiwán cúmháhš n̥cáwehe,šiwan cum-hahš-ø    n̥-ø-caw-ehe,cat  pinch-NEG-2SIMP 2SOBJ-3STATS-bite-DUB,,,šiwan cum-hahš-ø    n̥-ø-caw-ehe    ,cat  pinch-NEG-2SIMP 2SOBJ-3STATS-bite-DUB    ,"‘Don’t pinch the cat, or she might bite you.’ (Gatschet 1885b:41)","{shiwán tsúm háχsh ntsá-ĕhĕ}                                         
                                                                                    
          117) šiwán cúmháhš n̥cáwehe                                               
                                                                                    
               šiwan cum-hahš-ø    n̥-ø-caw-ehe                                     
                                                                                    
                                                                                    
               cat  pinch-NEG-2SIMP 2SOBJ-3STATS-bite-DUB                           
                                                                                    
               ‘Don’t pinch the cat, or she might bite you.’ (Gatschet 1885b:41)",šiwán cúm-háhš-ø    n̥-ø-cáw-ehe    
118,{hál wáng háχshn ól ishtiwē ṓk},hál wáŋháhšn̥ ó·l ištiwé·ók,hal       waŋ-hahš-n̥    o·l  iš-tiwe·-ok-ø,behind    go.about-NEG-2SIMP near 1PLSTATS-be.with-come-2SIMP,,,hal       waŋ-hahš-n̥    o·l  iš-tiwe·-ok-ø    ,behind    go.about-NEG-2SIMP near 1PLSTATS-be.with-come-2SIMP    ,‘Do not walk behind; come near with us!’ (Gatschet 1885b:49),"{hál wáng háχshn ól ishtiwē ṓk}                                     
                                                                                    
          118) hál wáŋháhšn̥ ó·l ištiwé·ók                                          
                                                                                    
               hal       waŋ-hahš-n̥    o·l  iš-tiwe·-ok-ø                          
                                                                                    
               behind    go.about-NEG-2SIMP near 1PLSTATS-be.with-come-2SIMP        
                                                                                    
               ‘Do not walk behind; come near with us!’ (Gatschet 1885b:49)",hál       wáŋ-háhš-n̥    ó·l  iš-tiwé·-ók-ø    
119,[iˊuc haˊxcin],íwšháhšn̥,iwš-hahš-n̥,be.angry,,,iwš-hahš-n̥    ,be.angry    ,‘Don’t be angry!’ (1932:54:2),"[iˊuc haˊxcin]                                                       
                                                                                    
          119) íwšháhšn̥                                                            
                                                                                    
               iwš-hahš-n̥                                                          
                                                                                    
               be.angry                                                             
                                                                                    
               ‘Don’t be angry!’ (1932:54:2)",íwš-háhš-n̥    
120,[Haˊ hilaˊ-i cok’hēˊc yaˊ kaˊ-u haˊnĕt],ha hiláy šoké·šya káwhánat,ha   hilay šoke·š=ya ø-kaw-han-at,his  wife be.sick=and 3STATS-die(sg)-ALMOST,,,ha   hilay šoke·š=ya ø-kaw-han-at    ,his  wife be.sick=and 3STATS-die(sg)-ALMOST    ,‘His wife was sick and almost died.’ (1932:13:54-55),"[Haˊ hilaˊ-i cok’hēˊc yaˊ kaˊ-u haˊnĕt]                              
                                                                                    
                                                                                    
          120) ha hiláy šoké·šya káwhánat                                           
                                                                                    
               ha   hilay šoke·š=ya ø-kaw-han-at                                    
                                                                                    
               his  wife be.sick=and 3STATS-die(sg)-ALMOST                          
                                                                                    
               ‘His wife was sick and almost died.’ (1932:13:54-55)",ha   hiláy šoké·š=ya ø-káw-hán-at    
122,[ekuˊn (aiˊkun) hatlacxaˊñco],eykún hatlašháŋšo,eykun     hat-laš-haŋš-o,just.now  REFLEX-shave-COMPL-1SS,,,eykun     hat-laš-haŋš-o    ,just.now  REFLEX-shave-COMPL-1SS    ,‘I am just now finished shaving.’ (Aorist) (1932:75:2),"[ekuˊn (aiˊkun) hatlacxaˊñco]                                        
                                                                                    
          122) eykún hatlašháŋšo                                                    
                                                                                    
                                                                                    
               eykun     hat-laš-haŋš-o                                             
                                                                                    
               just.now  REFLEX-shave-COMPL-1SS                                     
                                                                                    
               ‘I am just now finished shaving.’ (Aorist) (1932:75:2)",eykún     hat-laš-háŋš-o    
123,[cukaˊ hāˊñctin imōˊculat],šoká·kháŋštin himó·šulat,šoka·k-haŋš-ti-n              himo·š-ul-at,ceremonial.dance-COMPL-PSTPROG-WHEN bury-3PLS-PRET,,,šoka·k-haŋš-ti-n              himo·š-ul-at    ,ceremonial.dance-COMPL-PSTPROG-WHEN bury-3PLS-PRET    ,"‘When they had finished dancing, they buried him.’ (Subordinate) (1932:18:124-25)","[cukaˊ hāˊñctin imōˊculat]                                           
                                                                                    
          123) šoká·kháŋštin himó·šulat                                             
                                                                                    
               šoka·k-haŋš-ti-n              himo·š-ul-at                           
                                                                                    
               ceremonial.dance-COMPL-PSTPROG-WHEN bury-3PLS-PRET                   
                                                                                    
               ‘When they had finished dancing, they buried him.’ (Subordinate) (1932:18:124-25)",šoká·k-háŋš-ti-n              himó·š-ul-at    
124,[hokināˊdc haˊñckit],hokinácháŋškit,hok-ø-inac-haŋš-kit,RECIP-3STATS-fight-COMPL-PROG,,,hok-ø-inac-haŋš-kit    ,RECIP-3STATS-fight-COMPL-PROG    ,‘They are completing fighting with each other. (Progressive) (1932:86:1),"[hokināˊdc haˊñckit]                                                 
                                                                                    
                                                                                    
          124) hokinácháŋškit                                                       
                                                                                    
               hok-ø-inac-haŋš-kit                                                  
                                                                                    
               RECIP-3STATS-fight-COMPL-PROG                                        
                                                                                    
               ‘They are completing fighting with each other. (Progressive) (1932:86:1)",hok-ø-inác-háŋš-kit    
126,[Pa-i aˊkc tiˊc koˊhat],payákš tíškóhat,payakš    ø-tiš-koh-at,back      3STATS-go-DESID-PRET,,,payakš    ø-tiš-koh-at    ,back      3STATS-go-DESID-PRET    ,‘She wanted to go back.’ (1932:17:110),"[Pa-i aˊkc tiˊc koˊhat]                                              
                                                                                    
          126) payákš tíškóhat                                                      
                                                                                    
               payakš    ø-tiš-koh-at                                               
                                                                                    
               back      3STATS-go-DESID-PRET                                       
                                                                                    
               ‘She wanted to go back.’ (1932:17:110)",payákš    ø-tíš-kóh-at    
127,,kiš mókatya yó·lat; kicá·k káwya wáŋšakpámkóhya šakhéwš,kiš       ø-mok-at=ya         ø-yo·l-at                kica·k,woman     3STATS-be.short-PRET=and 3STATS-be.ill.tempered-PRET whiskey,ø-kaw=ya       ø-waŋ-šak-pam-koh=ya               šak-hewš,3STATS-die(sg)=and 3STATS-go.about-3PLOBJ-beat-DESID=and 3PLOBJ-curse,kiš       ø-mok-at=ya         ø-yo·l-at                kica·k    ø-kaw=ya       ø-waŋ-šak-pam-koh=ya               šak-hewš,woman     3STATS-be.short-PRET=and 3STATS-be.ill.tempered-PRET whiskey    3STATS-die(sg)=and 3STATS-go.about-3PLOBJ-beat-DESID=and 3PLOBJ-curse,‘She was a short woman and an ill-tempered one; she got drunk and wanted to go about beating people and cursing them.’ (1932:15:78-80),"127) kiš mókatya yó·lat; kicá·k káwya wáŋšakpámkóhya šakhéwš              
                                                                                    
               kiš       ø-mok-at=ya         ø-yo·l-at                kica·k        
                                                                                    
               woman     3STATS-be.short-PRET=and 3STATS-be.ill.tempered-PRET       
                                                                                    
               whiskey                                                              
                                                                                    
               ø-kaw=ya       ø-waŋ-šak-pam-koh=ya               šak-hewš           
                                                                                    
               3STATS-die(sg)=and 3STATS-go.about-3PLOBJ-beat-DESID=and 3PLOBJ-curse
                                                                                    
               ‘She was a short woman and an ill-tempered one; she got drunk and wanted to
                                                                                    
                                                                                    
               go about beating people and cursing them.’ (1932:15:78-80)",kiš       ø-mók-at=ya         ø-yo·l-at                kicá·k    ø-káw=ya       ø-wáŋ-šak-pám-kóh=ya               šak-héwš
128,[Taneˊ-u cakinaˊ-uc koˊxcaˊhulat],tannéw šakináwškóhšáhulat,tan-hew        šak-inawš-kohš-hah-ul-at,other-PL       3STATS-enter-DESID-NEG-3PLS-PRET,,,tan-hew        šak-inawš-kohš-hah-ul-at    ,other-PL       3STATS-enter-DESID-NEG-3PLS-PRET    ,‘They did not want other people to enter.’ (1932:18:117),"[Taneˊ-u cakinaˊ-uc koˊxcaˊhulat]                                    
                                                                                    
          128) tannéw šakináwškóhšáhulat                                            
                                                                                    
               tan-hew        šak-inawš-kohš-hah-ul-at                              
                                                                                    
               other-PL       3STATS-enter-DESID-NEG-3PLS-PRET                      
                                                                                    
               ‘They did not want other people to enter.’ (1932:18:117)",tan-néw        šak-inawš-kohš-hah-ul-at    
129,[wi nuˊñ uˊt paˊi hitiˊc ko],wi núŋut payhitíškóh,wi   nuŋ-ut    pay-hi-tiš-koh,my   village-DIR back-1SSTATS-go-DESID,,,wi   nuŋ-ut    pay-hi-tiš-koh    ,my   village-DIR back-1SSTATS-go-DESID    ,‘I want to go back to my village.’ (1932:94:2),"[wi nuˊñ uˊt paˊi hitiˊc ko]                                         
                                                                                    
          129) wi núŋut payhitíškóh                                                 
                                                                                    
               wi   nuŋ-ut    pay-hi-tiš-koh                                        
                                                                                    
                                                                                    
               my   village-DIR back-1SSTATS-go-DESID                               
                                                                                    
               ‘I want to go back to my village.’ (1932:94:2)",wi   núŋ-ut    pay-hi-tíš-kóh    
130,[hikuˊ wi nuˊk tiˊk iˊka koˊ],hikú wi núk tikhikàkóh,hiku wi   nuk  tik-hi-ka-koh,soup I    self go.and-1SSTATS-make-DESID,,,hiku wi   nuk  tik-hi-ka-koh    ,soup I    self go.and-1SSTATS-make-DESID    ,‘I myself want to go and make soup.’ (1932:41:1),"[hikuˊ wi nuˊk tiˊk iˊka koˊ]                                        
                                                                                    
          130) hikú wi núk tikhikàkóh                                               
                                                                                    
               hiku wi   nuk  tik-hi-ka-koh                                         
                                                                                    
               soup I    self go.and-1SSTATS-make-DESID                             
                                                                                    
               ‘I myself want to go and make soup.’ (1932:41:1)",hikú wi   núk  tik-hi-kà-kóh    
131,[hin cokiaˊx koˊxca],nšokyáhkóhš á,n-šok-yah-kohš      a,2SSTATS-STH-eat-DESID Q,,,n-šok-yah-kohš      a    ,2SSTATS-STH-eat-DESID Q    ,‘Do you want to eat something?’ (1932:152:1),"[hin cokiaˊx koˊxca]                                                 
                                                                                    
          131) nšokyáhkóhš á                                                        
                                                                                    
               n-šok-yah-kohš      a                                                
                                                                                    
               2SSTATS-STH-eat-DESID Q                                              
                                                                                    
               ‘Do you want to eat something?’ (1932:152:1)",n-šok-yáh-kóhš      á    
132,{hin shokiáχ kóχsh hā́χsh <a>},nšokyáhkóhšháhš á,n-šokyah-kohš-hahš  a,2SSTATS-eat-DESID-NEG Q,,,n-šokyah-kohš-hahš  a    ,2SSTATS-eat-DESID-NEG Q    ,"‘Don’t you want to eat?’ (Gatschet, 1885b:64)","{hin shokiáχ kóχsh hā́χsh <a>}                                       
                                                                                    
          132) nšokyáhkóhšháhš á                                                    
                                                                                    
               n-šokyah-kohš-hahš  a                                                
                                                                                    
               2SSTATS-eat-DESID-NEG Q                                              
                                                                                    
               ‘Don’t you want to eat?’ (Gatschet, 1885b:64)",n-šokyáh-kóhš-háhš  á    
133,[kuˊlke hokteweˊ toˊxntsȏl],kúlke hoktiwé·tóhn̥ccel,kúlke     hok-tiwe·-toh-n̥t-cel,always    RECIP-be.with-live(pl)-CONTIN-1PLS,,,kúlke     hok-tiwe·-toh-n̥t-cel    ,always    RECIP-be.with-live(pl)-CONTIN-1PLS    ,‘We have always lived with one another.’ (1932:133:2),"[kuˊlke hokteweˊ toˊxntsȏl]                                          
                                                                                    
          133) kúlke hoktiwé·tóhn̥ccel                                              
                                                                                    
               kúlke     hok-tiwe·-toh-n̥t-cel                                      
                                                                                    
               always    RECIP-be.with-live(pl)-CONTIN-1PLS                         
                                                                                    
               ‘We have always lived with one another.’ (1932:133:2)",kúlke     hok-tiwé·-tóh-n̥c-cel    
134,,tawhokwálšn̥tcel,taw-hok-walš-n̥t-cel,STAND-RECIP-fan-CONTIN-1PLS,,,taw-hok-walš-n̥t-cel    ,STAND-RECIP-fan-CONTIN-1PLS    ,‘We are continuing to fan each other standing.’ (1932:141:1),"134) tawhokwálšn̥tcel                                                     
                                                                                    
               taw-hok-walš-n̥t-cel                                                 
                                                                                    
               STAND-RECIP-fan-CONTIN-1PLS                                          
                                                                                    
               ‘We are continuing to fan each other standing.’ (1932:141:1)",taw-hok-wálš-n̥t-cel    
135,[kaukaˊ-u aˊm’n aˊnike ntaˊhĕntat],kawkáw ámn̥ ánike n̥táhn̥ tat,kawkaw    ø-am-n̥        an-ike    n̥tah-n̥t-at,water     3STATS-drink-WHEN ear-ELL come.out-CONTIN-PRET,,,kawkaw    ø-am-n̥        an-ike    n̥tah-n̥t-at    ,water     3STATS-drink-WHEN ear-ELL come.out-CONTIN-PRET    ,"‘When he drank water, it kept on coming out of his ears. (1932:10:19-20)","[kaukaˊ-u aˊm’n aˊnike ntaˊhĕntat]                                   
                                                                                    
          135) kawkáw ámn̥ ánike n̥táhn̥ tat                                        
                                                                                    
               kawkaw    ø-am-n̥        an-ike    n̥tah-n̥t-at                      
                                                                                    
                                                                                    
               water     3STATS-drink-WHEN ear-ELL come.out-CONTIN-PRET             
                                                                                    
               ‘When he drank water, it kept on coming out of his ears. (1932:10:19-20)",kawkaw    ø-am-n̥        an-ike    n̥tah-n̥t-at    
136,[Yaˊñ kēˊtntat yukiˊts tuˊl ma inoˊ-i icitsyuˊtskin],iyáŋ ké·tn̥tat yukíts túl maynóy išicyúckin,iyaŋ ø-ke·t-n̥t-at       yukit-š   tul  maynoy,there 3STATS-dwell-CONTIN-PRET we-FOC lake other.side,iš-icyuc-kin,1PLSTATS-grow.up-WHEN,iyaŋ ø-ke·t-n̥t-at       yukit-š   tul  maynoy    iš-icyuc-kin,there 3STATS-dwell-CONTIN-PRET we-FOC lake other.side    1PLSTATS-grow.up-WHEN,‘There she used to dwell while we grew up on the other side of the lake.’ (1932:14:72-73),"[Yaˊñ kēˊtntat yukiˊts tuˊl ma inoˊ-i icitsyuˊtskin]                 
                                                                                    
          136) iyáŋ ké·tn̥tat yukíts túl maynóy išicyúckin                          
                                                                                    
               iyaŋ ø-ke·t-n̥t-at       yukit-š   tul  maynoy                       
                                                                                    
               there 3STATS-dwell-CONTIN-PRET we-FOC lake other.side                
                                                                                    
               iš-icyuc-kin                                                         
                                                                                    
               1PLSTATS-grow.up-WHEN                                                
                                                                                    
               ‘There she used to dwell while we grew up on the other side of the lake.’ (1932:14:72-73)",iyáŋ ø-ké·t-n̥t-at       yukít-s   túl  maynóy    iš-icyúc-kin
139,[keˊucux̥ kinto naˊkc ke-uciuˊlkinto],kewƛúkškinto ná·kš kewyúlškinto,kew-ƛukš-ki-nt-o·             na-ik-iš,SIT-smoke.tobacco-FC-CONTIN-PHR:TERM you(sg)-ERG.AGNT-FOC,kew-yulš-ki-nt-o·,SIT-write-FC-CONTIN-PHR.TERM,kew-ƛukš-ki-nt-o·             na-ik-iš    kew-yulš-ki-nt-o·,SIT-smoke.tobacco-FC-CONTIN-PHR:TERM you(sg)-ERG.AGNT-FOC    SIT-write-FC-CONTIN-PHR.TERM,‘I will sit and smoke. You will sit and write.’ (1932:159:1),"[keˊucux̥ kinto naˊkc ke-uciuˊlkinto]                                
                                                                                    
          139) kewƛúkškinto ná·kš kewyúlškinto                                      
                                                                                    
               kew-ƛukš-ki-nt-o·             na-ik-iš                               
                                                                                    
               SIT-smoke.tobacco-FC-CONTIN-PHR:TERM you(sg)-ERG.AGNT-FOC            
                                                                                    
               kew-yulš-ki-nt-o·                                                    
                                                                                    
                                                                                    
               SIT-write-FC-CONTIN-PHR.TERM                                         
                                                                                    
               ‘I will sit and smoke. You will sit and write.’ (1932:159:1)",kew-ƛukš-ki-nt-o·             na-ik-iš    kew-yulš-ki-nt-o·
140,[wi noˊmc tsīk cakitsyutsickinto],wi nómš cí·k šakicyúciškin̥ to,wi   nomš ci·k šak-icyuc-iš-ki-n̥t-o·,my   child two 3PLO-raise-CAUS-FC-CONTIN-PHR.TERM,,,wi   nomš ci·k šak-icyuc-iš-ki-n̥t-o·    ,my   child two 3PLO-raise-CAUS-FC-CONTIN-PHR.TERM    ,‘I am in the process of raising my two children.’ (1932:93:1),"[wi noˊmc tsīk cakitsyutsickinto]                                    
                                                                                    
          140) wi nómš cí·k šakicyúciškin̥ to                                       
                                                                                    
               wi   nomš ci·k šak-icyuc-iš-ki-n̥t-o·                                
                                                                                    
               my   child two 3PLO-raise-CAUS-FC-CONTIN-PHR.TERM                    
                                                                                    
               ‘I am in the process of raising my two children.’ (1932:93:1)",wi   nomš ci·k šak-icyuc-iš-ki-n̥t-o·    
141,[wic caˊ ot keˊ-u cakiuˊlckinto],wí·š šáot kewšakyúlškin̥ to,wi-iš ša-ot         kew-šak-yulš-ki-n̥ t-o·,I-FOC someone-DIR   SIT-3PLO-write-FC-CONTIN-PHR.TERM,,,wi-iš ša-ot         kew-šak-yulš-ki-n̥ t-o·    ,I-FOC someone-DIR   SIT-3PLO-write-FC-CONTIN-PHR.TERM    ,‘I am going to be sitting and writing things for someone.’ (1932:160:1),"[wic caˊ ot keˊ-u cakiuˊlckinto]                                     
                                                                                    
          141) wí·š šáot kewšakyúlškin̥ to                                          
                                                                                    
                                                                                    
               wi-iš ša-ot         kew-šak-yulš-ki-n̥ t-o·                          
                                                                                    
               I-FOC someone-DIR   SIT-3PLO-write-FC-CONTIN-PHR.TERM                
                                                                                    
               ‘I am going to be sitting and writing things for someone.’ (1932:160:1)",wí-·š šá-ot         kew-šak-yúlš-ki-n̥ t-o·    
142,[tuˊl ōˊci nūˊn nultiˊhinst],túl o·ši nuŋnúltíhin̥st,tul  o·ši      nuŋ-nul-tihi-n̥st,lake edge.of   village-dwell(pl)-PST.PROG-CUSTOM,,,tul  o·ši      nuŋ-nul-tihi-n̥st    ,lake edge.of   village-dwell(pl)-PST.PROG-CUSTOM    ,‘They customarily lived in villages on the edges of the lakes.’ (1932:9:2-3),"[tuˊl ōˊci nūˊn nultiˊhinst]                                         
                                                                                    
          142) túl o·ši nuŋnúltíhin̥st                                              
                                                                                    
               tul  o·ši      nuŋ-nul-tihi-n̥st                                     
                                                                                    
               lake edge.of   village-dwell(pl)-PST.PROG-CUSTOM                     
                                                                                    
               ‘They customarily lived in villages on the edges of the lakes.’ (1932:9:2-3)",túl  o·ši      nuŋ-núl-tíhi-n̥st    
143,[nec hicoˊmckin yuk’hiˊti tulip lōˊx̥ kin iwāˊt’n hūˊnst],neš hišómškin yukhíti túlip lókkin iwá·tn húnst,neš  hišomš-kin yukhiti  tul-ip    lok-kin   iwa·t-n̥,tree small-LOC Indian    lake-INESS prairie-LOC move.hither-WHEN,hu-n̥št,see-CUSTOM,neš  hišomš-kin yukhiti  tul-ip    lok-kin   iwa·t-n̥    hu-n̥št,tree small-LOC Indian    lake-INESS prairie-LOC move.hither-WHEN    see-CUSTOM,"‘They customarily see it (the Skin-Desirer) in the brush around Lake Prien (Indian Lake), when it moves towards them in the prairie.’ (1932:11:35)","[nec hicoˊmckin yuk’hiˊti tulip lōˊx̥ kin iwāˊt’n hūˊnst]            
                                                                                    
          143) neš hišómškin yukhíti túlip lókkin iwá·tn húnst                      
                                                                                    
                                                                                    
               neš  hišomš-kin yukhiti  tul-ip    lok-kin   iwa·t-n̥                
                                                                                    
               tree small-LOC Indian    lake-INESS prairie-LOC move.hither-WHEN     
                                                                                    
               hu-n̥št                                                              
                                                                                    
               see-CUSTOM                                                           
                                                                                    
               ‘They customarily see it (the Skin-Desirer) in the brush around Lake Prien (Indian
                                                                                    
               Lake), when it moves towards them in the prairie.’ (1932:11:35)",neš  hišómš-kin yukhíti  túl-ip    lók-kin   iwá·t-n    hú-nst
